content,score
untuk pengiriman kode OTP sangat lama sekali bahkan sudah klik kirim ulang kode OTP tapi masih tetap lama yang alhasil klik beberapa kali&cuma memakan pulsa saja tolng di perbaiki sistem nya untuk pengiriman kode OTP,2
Update itu fiturnya ditambah klo g ada tambahan fitur updatenya normal2 ajalah g ush lebay update mulu setiap saat kyk app receh aja 20/03/25 setelah direspon update makin parah...makin sering ini update seminggu sekali apa gmn si?sering amat...team IT nya amatiran ya?,1
"halo pihak BCA, saya telah memakai aplikasi ini kurang lebih sudah 1 tahun, dan saya sangat terbantu dengan fitur pengiriman terjadwal, namun di akhir-akhir ini setelah update aplikasi, aplikasi selalu berhenti saat membuka ""menu lainnya"" saat saya ingin menggunakan fitur tersebut (Pengiriman terjadwal) saya jadi tidak bisa mengubah atau bahkan melihat jadwal yg sudah saya buat sebelumnya. bagaimana cara saya mengatasi ini?",4
"Setelah melakuan update aplikasi malah bbrp kali klik di bagian ""semua menu"" lgs didirect keluar aplikasi. Notifikasi bug sistem dan diminta install ulang stlh pengembang memperbaiki.",1
"setelah update terakhir, setiap kali mau lihat semua menu di mybca langsung tertutup sendiri, saya jadi tidak bisa lihat transaksi terjadwalnya. Tolong diperbaiki.",1
"aplikasi MyBCA semakin komplit, saran untuk fitur panggilan telpon, ketika panggilan telpon sedang berlangsung agar layar nya bisa di minimize supaya memudahkan ketika ingin melakukan pengecekan fitur-fitur dan data pada mobile banking yang sedang diminta oleh cs saat berbicara melalui fitur telpon di my BCA tanpa harus memutuskan panggilan terlebih dahulu. Selanjutnya juga tolong tambahin fitur e-wallet seperti top up dana, ovo, gopay, shopee pay, dll.",5
"setiap di update pasti password nya salah teruss, kenapa harus di ganti password nya, kan kita jadi repot harus tlpn hallo BCA lah, harus reset password lahh, capek gitu² trus setiap update nya, tolonglahh kalok update ya update aja jangan ikut²an jga password sama id nya harus di reset kita capek setiap kali update harus reset password, bikin repot!!!",2
"tambahkan mata uang valas Riyal Saudi (SAR), tambahkan untuk bisa menyimpan nomor dengan nama untuk pengisian token PLN, gas alam, nomor telepon dan PDAM. tambahkan menu untuk pengisian e wallet secara langsung bukan pakai nomor virtual lagi. serta sediakan untuk BCA Keyboard.",5
"tlg pihak bca memperbaiki app mybca, setiap masukin password uda betul tapi lgsg terblokir, begini trus jd ribet harus ganti trus passwordnya.. bbrp hari sekali lgsg terblokir lg.. bingung dgn update terbaru my bca ini , tiap hari disuruh update pdhl br update terbaru. . terimakasih",1
kenapa notifikasi transferan masuk terus berulang kali ada? bug kah? mohon segera ditindak lanjuti.. notifikasi terus menerus ketika ada uang masuk,4
dulu pernah daftar tapi error dan disuruh coba lain kali. besoknya coba daftar lagi dan katanya email sudah terdaftar tapi pas minta BCA id dan dimasukkan email yang sama malah katanya email belum terdaftar 😇,1
"baru banget update hari ini tgl 20 maret 2025 eh malah gak bisa login ke akun mybca cuma loading terus, padahal mau lebaran , sering transaksi kekuar masuk dari mybca tau gitu gak usah di update deh tadi",1
"tolong developer mybca diperbaiki lagi itu ada bug dibagian masukan no telepon ketika log in, di situ kode nomor negara Indonesia tidak ada, jadi saya tidak bisa masuk, payah ini",1
"sangat bagus dan merepotkan, BCA saya gampang di blokir karena salah otp doang, bukan pasword atau apa. mantap system nya ketat sekali otp salah doang blokir akun bca",5
"tiba² id bca saya terblokir saat mau masuk ke aplikasinya padahal tidak pernah melakukan apapun kenapa bisa? why? BCA coba jelaskan Kecewa berat, saya sibuk kerja, manalagi harus urus ke cabang",1
"bug karena klik > semua menu, kemudian app crash & keluar, sudah bisa teratasi dengan uninstall app dan di install ulang ,",5
"ADMIN, saya sunguh bingung dengan aplikasi ini, setelah update akun saya hilang, dan saat loogin kembali , pasti alamat email tidak dapat digunakan, sudah 3 email saya coba, dan tidak bisa sampai sekarang",1
"Kenapa mybca ini nge bug, buka semua menu tidak bisa langsung keluar sendiri dari aplikasi, tolong segwra diperbaiki karena sangat mengganggu",5
"saya berencana ingin pindah dari mbca ke mybca dan sudah melakukan registrasi nomor e banking pada ATM, tetapi saat saya mau login ulang katanya BCA id / sandi salah. reset password malah disuruh hubungi halobca, kukira bakalan simple saat pendaftarannya taunya malah ribet seperti ini. baru kali ini saya kecewa melihat pelayanan BCA seperti ini",1
"proses face compare ke dukcapil saat login pertama ketika pindah device sangat tidak berguna, kena invalid saat proses verifikasi wajah sendiri, disable aja fiturnya, tidak berguna",3
Sangat bagus. Lebih fleksibel dan rinci. Sama untuk payment suport contactles. Bca terbaik.,5
"kenapa saya mau bayar tagihan listrik, dan setiap saya mau buka menu tersebut selalu gak bisa dan langsung keluar dari aplikasi. ini kenapa kok jadi susah semenjak aplikasi di update... tolong dong perbaiki",1
"gak jelas aplikasinya...daftar dah bener,pas mau masuk salah Mulu padahal sandi sama id bener...baru buat ini masa gak bisa masuk""x aja dah lama buat nya lupa id sama sandi nya...ngotak lah kalo ngomong!!!",1
masukin password nga bisa pake angka jadi ke blok ini parah aplikasi busuk jawanya Pastinmohon maaf atas ketidak nyamananya...di perbaikilah sebelum update nga ada msh setelah di update malah masalah,2
"Scan qris tanpa login belum bisa,menu topup ewallet blm ada,ganti nomor hp via aplikasi blm bisa,intip saldo dari luar blm bisa, dan rikues kartu baru di app dikirim kerumah jg blm bisa ada nya blokir kartu ajuin debit baru di cabang ,Dan mutasi bukti TF tolong diperkecil, ini kaya mau baca koran panjang bgt. semoga kedepan nya kekurangan itu bisa dibenahin ya min dan semoga CepaT terrealisasi",4
tolong diperbaiki lagi aplikasi saat mau bertransaksi sering bug..keluar sendiri..sebelum diupdate normal setelah diupdate ngebug...tolong updatenya lagi..,2
"Mybca setelah di update sering eror, blank , Hank dan nutup sendiri...👎 aplikasi sering tutup sendiri dan aplikasi Hank respon lama... menyusahkan nasabah ... kalau tidak ada keluhan aplikaai saya tidak lapor..mybca loyo kalah dengan bank lain👎 mau transfer trasaksi dipersulit. bank lain bisa transfer antar bank 250jt.. harusnya per RK:150jt jika punya rekening:5 berarti limit transfer:150jtx5...👌👍 andai punya 5 akun tapi cuma bisa kirim:150 itu berarti bca curang atau berbuat penipuan🤣",1
"jangan download/pakai aplikasi ini sangat buruk!!! saya isi saldo masuk.. tapi tidak masuk di saldo aktif cuman ada di mutasi.tidak bisa di pakai.dan saya hubungi pikak bca layanan sungguh buruk, pertanyaan saya tidak di respon dengan baik. ada+1 lgi saya tidak bisa login!!! id saya bener kata sandi saya bener, tapi ketika saya masukan sandi salah!!! lagi"" saya hubungi tidak ada respon/tanggapan sama sekali!!!",1
"sebelum diupdate saya keluar dari akun mybca saya, terus pas sudah diupdate mau masuk ke akun saya malah tidak bisa mendapatkan kode OTP padahal pulsa saya ada malah sampe habis tapi saya tidak mendapatkan SMS kode OTP",2
"kenapa ya setelah buat ID malah tidak bisa digunakan? begitu masuk selalu diarahkan dengan mengisi nomor telepon berulang kali, bolak balik disitu-situ terus mohon perbaikannya BCA",1
"Gajelas banget myBCA, suka tiba tiba ke logout padahal ga salah password tapi tiba2 ke logout dan harus login lagi, sudah ke 4x nya begini dan notif kode otp nya pun lama banget padahal pulsa sudah terisi.",2
"aplikasi ini perlu di perbaiki lagi agar mengirim kode otp bisa melalui whatsapp jadi tidak harus pakai pulsa repot sekali setiap mau menerima kode otp harus beli pulsa,,,sekarang mh udh gak jaman hp pake pulsa.",1
"per tanggal 3 maret 2025, saya melakukan transfer melalui myBCA, tetapi setelah memasukkan kode pin saya, tiba tiba error nggak jelas, lalu aplikasi nya close dan tidak bisa di bukaa. Bagaimana dengan status TRANSAKSI saya? TIDAK ADA KEJELASANN. TOLONGG INI BAGAIMAANAAA?!!! URGENT SOALNYA",1
"Aplikasi sering bug, disuruh memperbarui terus, tp setelah diperbaruhi tambah parah gabisa login. Suruh hapus riwayat berkali kali ttp gabisa. Kesel bgt sumpah hmm",1
Setelah di update kenapa setiap mau masuk ke myBCA nggak bisa masuk ya? Padahal nggak ada masalah dijaringan tapi susah banget buat masuk appnya padahal buat transaksi penting,1
ah kecewa dibagian navigasi bawahnya jadi warna putih. padahal udah bagus diversi sebelumnya warna biru sinkron dengan aplikasinya,1
"Min BI FAST sama LLG dihapusin aja deh kalau transaksinya tertunda sampai 1-5 hari mah. Saya trf via LLG mau trnsksi jual beli malah jadi tunggu tungguan. Karena uang belum masuk. Terus ganti ke BI Fast saldonya terpotong, tapi yang nerima blm masuk. Saya jadinya urusan sm org yg mau jual. Uang saya udh berkurang tp di dia belum ada dana masuk. Saya ga bisa ambil brgnya. Kami jadi berantem. Besoknya saldo sy kepotong lagi karena LLG baru berhasil esoknya. Saya jadi trf 2x dan brg ga saya ambil.",1
"Hey knp skrg gk ada notifikasi klo dpt transfer masuk kenapa sih kenapa? Aku protes bgt ini astagfirullah klo kek gini mah sama aja kaya mobile bca nya justru notifikasi dn tampilan itu yg membedakan tau! Aku kemarin enak klo ada transfer dpt notifikasi langsung dihp dibar status skrg malah gk ada bener2 kecewa bgt aku my BCA! Pleaseee balikin kaya awal aja kemarin itu udh bagus bgt sumpah mulai dri tampilan, notifikasi di bar status, dn segala kemudahan nya its nice bgt tp skrg kecewa aku!",1
"jujur ku kira dari hape, tapi aplikasi dari dulu nggak pernah bisa di klik kukira hp rusak tapi enggak, cuman dari my bca aja jadi mau apa apa susah ngak ada perbedaan dari tiap update",2
Bagus sekali semua fitur ada dan sangat praktis. Namun untuk fitur short cut di tampilan awal khususnya QRIS sebaiknya tidak perlu mengisi password seperti aplikasi sebelah jadi cukup memasukkan pin saja.,5
"Sudah isi lengkap semua, masuk kan id sama password,eh balik lagi suruh isi rek ktp dll lagi.. bolak balik aja jd nya. Ga bs login masuk atau daftar bolak balik isi no hp, no rek, no ktp tp ujung ujung nya balik keluar lagi padahal sudah selesai bolak balik daftar.. aplikasi yg aneh.. Kalau ga tulisan nya salah id atau password , di suruh daftar ulang lagi.. yg aneh kirim email ada yg mau masuk akun saya.tp kemudian tulisan nya email belum terdafta, aneh, Bagusan bca mobile kamana mana.",1
"aplikasi sampah didepan atm malah ngeblank up date terus ga ada perbaikan, Bangke aplikasi jadul super lemot, bank lain lancar2 aja, Up date terus tiap hari bikin lama transaksi",1
"mau bayar beli kuota pas kuota lg tiris pake hrs update segala, lain kali update nya boleh d skip gtu biar yg lg urgent kya saya ga kelimpungan, mana jam 4 subuh pula, klo siang mah masih mending banyak konter yg buka",1
"My BCA ini ko sering gangguan ya, gabisa masuk, padahal pakai WiFi dan jaringan sudah bagus, untuk buka m-banking lain dan aplikasi lain lancar seperti biasa tapi My BCA tidak bisa login",3
"Setelah update aplikasi tidak mau dibuka, awalnya saya kira ini karena id saya terblokir karena salah sandi 3x, tapi hal yang sama juga terjadi saat mau mengurus melalui halobca, apakah ada masalah di server bca? Mohon segera diperbaiki",1
"Yang sekarang kalau transfer ke bank lain tidak bisa setelah masukan tujuan bank lanjut kenomer rekening tujuan, tujuan banknya menghilang tidak muncul. Berlanjut seperti itu sampai capek deh...",1
baru download hari ini.. kenapa ya kok berkali2 masuk tetap ga bisa masuk? selalu kembali ke halaman awal. sudah masukkann bca id & password dan sudah dapat otp berulang kali. tapi setelah itu kembali ke halaman awal & tetap tidak bisa masuk,3
"sangat bagus dari segi pelayanan, aplikasi, dan mudah untuk digunakan. Tapi mohon untuk tambahkan mode gelap agar aplikasi menjadi lebih nyaman dilihat",5
"Tolong jangan dikit"" login masa baru keluar sebentar dr aplikasi sudah login lagi, klo BCA yang lama cukup password soalnya ribet, dan satu lagi jangan sering"" wajibkan update",2
"Sudah bertahun-tahun jadi nasabah BCA pengajuan paylater 3kali di tolak terus sangat kecewa banget. Aplikasi sebelah saja mau kasih limit 40jtan. Setidaknya pengajuan paylater di setujui dulu dengan limit rendah, dengan begitu BCA bisa tahu history pembayaran dan menambah manfaat bagi semua nasabahnya. ( tidak dipilih pilih)",2
"Kode OTP nya ga keluar keluar, pulsa ada sinyal bagus cmn dari BCA nya aja gajelas. Sudah nyoba secara berkala masih saja tidak bisa tolong perbaiki saran saya tambahkan fitur OTP ke whatsapp lebih bagus. Kalo sudah ada fitur whatsapp gass bintang 5. Mohon untuk kerja cepat ya BCA jangan lambat kalian kalo kerja",1
"Fitur-fiturnya sangat memudahkan berbagai kebutuhan transaksi, tampilannya juga mudah digunakan dan dimengerti",5
Mohon maaf sekali saya rating bintang 1. Sangat buruk sekali. Saya pakai ID saya yg pertama saat konfirmasi nomor tidak ada kode negara +62. Tapi pas bikin ID baru disitu baru ada kode negara +62. Agak laen ya,1
ada bug saat membuka menu lain nya aplikasi tiba tiba keluar sendiri tolong perbaikan bug nya min,3
"Semenjak di updet secara otomatis sy tidak bisa masuk lg,padahal ID jg no Hp bener semua,nunggu OTP dari malam berulang2 gk dapat2,mohon BCA perbaiki lagu untuk kemudahannya,saya sebagai nasabah BCA susah untuk menggunakan app mybca,sampai detik ini gk bisa masuk2 ke app mybca karena kode OTP nya gk kunjung datang",3
"Transaksi cicilan kartu kredit jangan masuk notifikasi, biasa masuk tengah malam, sangat mengganggu. Menu bayar kartu kredit tersembunyi, seharusnya bisa diatur menu transaksi favorit nasabah .",3
"Ujung²nya Harus ke bank nya juga, katanya simple bisa online sendiri, padahal sdh punya ID dan no rek, parah sangat, dan saya skrg akan menggunakan bank lain, yg lebih mudah tanpa harus ke kantornya langsung, karena masalahnya waktunya susah",1
"Saya kecewa, kemarin melakukan pembelian paket internet gagal, 21 menit kemudian membeli paket internet lagi dan berhasil dengan pembayaran mybca, tapi dana pertama tidak kembali, sudah menghubungi email, diminta menungggu 7 hari, tidak ada kabar, saya tanya lagi lewat email baru dijelaskan kalau harus menghubungi sendiri pihak aplikasi bima+, kalau saya tidak tanya ya tidak di beri penjelasan, sangat tidak responsif, mending bri klo gagal langsung balik sendiri uangnya, ga pake drama",1
"Loginya susah amat knp gak pake kode verifikasi yg dikirim ke wa knp harus di SMS mana harus pake pulsa ribet dan lama juga padahal udah dikirim tapi pas kembali ke aplikasi malah dirusuh pastika kode terkirim padahal udah dikirim berkali kali ada sampai 5 kali lebih ngak ada tanggapan apapun super lemot, tambahan customer servicenya ga ada tanggapan nya nungguin video call hampir se jam ga ada yg jawab jelek banget dah, kaya ganiat kerja gaji gede males gede semua di gedein pelayanan bca jelek",1
"Ribet,,,harusnya klo yg udh punya rekening bca d permudah login nya,,nomer kartu/no rekening + vermuk juga udh cukup. Ini hrs bikin bca id segala,,buat apa coba. Ditambah hrs daftarin nomer di ATM,,sedangkan saya jauh dr cabang dan blm sempet ambil ATM, Apa gunanya daftar via online.",1
"Susah login, terjadi kesalahan terus padahal sinyal kuota aman, wifi juga ngebut, jadi gabisa login malah terjadi kesalahan terus menerus, lemot juga",4
"Kapan BCA punya fitur dompet/saving, sekarang eksistensi bank digital semakin naik krn berbagai fitur termasuk bisa menyimpan uang di dompet dan tdk ditampilkan di menu saldo utama. Saya harap BCA menyesuaikan dengan mengadakan fitur tersebut",5
"Apalagi BCA ini nawarin asuransi tapi pas ditolak kok nada sensi dan nutup telpon sampe gak permisi nya. Begini kualitas marketing BCA? Oke tarik saldo pindah bank lain, terlalu norak cara mainnya. Kalo gak mampu edukasi marketingnya, gak usah diadain market asuransi apapun itu",4
